Hora;Potencia (W);Fecha
18:50:53;23,438;2018-02-01
18:50:57;17,578;2018-02-01
18:50:38;17,578;2018-02-01
18:51:00;11,719;2018-02-01
18:51:04;32,227;2018-02-01
18:51:08;17,578;2018-02-01
18:51:11;17,578;2018-02-01
18:51:15;11,719;2018-02-01
18:51:19;23,438;2018-02-01
18:51:22;17,578;2018-02-01
18:51:26;11,719;2018-02-01
18:51:30;17,578;2018-02-01
18:51:34;17,578;2018-02-01
18:51:41;17,578;2018-02-01
18:51:45;11,719;2018-02-01
18:51:52;17,578;2018-02-01
18:51:56;17,578;2018-02-01
18:51:48;11,719;2018-02-01
18:52:03;26,367;2018-02-01
18:52:07;20,508;2018-02-01
18:52:11;14,648;2018-02-01
18:52:14;29,297;2018-02-01
18:51:59;5,859;2018-02-01
18:52:18;11,719;2018-02-01
18:52:25;17,578;2018-02-01
18:52:22;23,438;2018-02-01
18:52:29;26,367;2018-02-01
18:52:33;17,578;2018-02-01
18:52:40;14,648;2018-02-01
18:52:36;23,438;2018-02-01
18:52:44;32,227;2018-02-01
18:52:48;23,438;2018-02-01
18:52:51;14,648;2018-02-01
18:52:55;11,719;2018-02-01
18:52:59;17,578;2018-02-01
18:53:02;17,578;2018-02-01
18:53:06;20,508;2018-02-01
18:53:13;20,508;2018-02-01
18:53:17;17,578;2018-02-01
18:53:21;11,719;2018-02-01
18:53:25;23,438;2018-02-01
18:53:36;8,789;2018-02-01
18:53:32;14,648;2018-02-01
18:53:43;14,648;2018-02-01
18:53:39;14,648;2018-02-01
18:53:47;17,578;2018-02-01
18:53:50;8,789;2018-02-01
18:53:54;14,648;2018-02-01
18:53:58;14,648;2018-02-01
18:54:02;14,648;2018-02-01
18:54:05;5,859;2018-02-01
18:54:09;14,648;2018-02-01
18:54:13;14,648;2018-02-01
18:54:16;14,648;2018-02-01
18:54:24;14,648;2018-02-01
18:54:20;29,297;2018-02-01
18:54:31;14,648;2018-02-01
18:54:35;26,367;2018-02-01
18:54:27;11,719;2018-02-01
18:54:38;14,648;2018-02-01
18:54:42;14,648;2018-02-01
18:54:46;14,648;2018-02-01
18:54:50;26,367;2018-02-01
18:54:53;20,508;2018-02-01
18:55:01;14,648;2018-02-01
18:54:57;14,648;2018-02-01
18:55:04;14,648;2018-02-01
18:55:12;14,648;2018-02-01
18:55:08;14,648;2018-02-01
18:55:16;8,789;2018-02-01
18:55:19;17,578;2018-02-01
18:55:23;14,648;2018-02-01
18:55:27;14,648;2018-02-01
18:55:30;2,93;2018-02-01
18:55:34;14,648;2018-02-01
18:55:38;20,508;2018-02-01
18:55:45;20,508;2018-02-01
18:55:41;8,789;2018-02-01
18:55:49;14,648;2018-02-01
18:55:53;14,648;2018-02-01
18:55:56;14,648;2018-02-01
18:56:00;32,227;2018-02-01
18:56:04;17,578;2018-02-01
18:56:07;14,648;2018-02-01
18:56:11;23,438;2018-02-01
18:56:15;29,297;2018-02-01
18:56:22;14,648;2018-02-01
18:56:26;20,508;2018-02-01
18:56:18;14,648;2018-02-01
18:56:29;20,508;2018-02-01
18:56:33;14,648;2018-02-01
18:56:37;14,648;2018-02-01
18:56:41;8,789;2018-02-01
18:56:44;14,648;2018-02-01
18:56:48;20,508;2018-02-01
18:56:52;17,578;2018-02-01
18:56:55;8,789;2018-02-01
18:56:59;17,578;2018-02-01
18:57:03;14,648;2018-02-01
18:57:06;14,648;2018-02-01
18:57:10;11,719;2018-02-01
